time,open,high,low,close,volume
2020-03-20 05:50:00,1.07572,1.07615,1.07508,1.07533,1833
2020-03-20 05:55:00,1.07534,1.07641,1.07522,1.07641,964
2020-03-20 06:00:00,1.07643,1.07678,1.07609,1.0764,1693
2020-03-20 06:05:00,1.07641,1.0768,1.07619,1.07654,1359
2020-03-20 06:10:00,1.07654,1.07676,1.07616,1.07627,1497
2020-03-20 06:15:00,1.07628,1.07634,1.07482,1.07483,2377
2020-03-20 06:20:00,1.07483,1.07496,1.0744,1.0744,1749
2020-03-20 06:25:00,1.07439,1.07541,1.07412,1.07514,1514
2020-03-20 06:30:00,1.07515,1.07638,1.07509,1.07609,1846
2020-03-20 06:35:00,1.0761,1.07631,1.07461,1.07464,2161
2020-03-20 06:40:00,1.07462,1.07511,1.07441,1.07485,1763
2020-03-20 06:45:00,1.07484,1.07549,1.0746,1.0753,1759
2020-03-20 06:50:00,1.07529,1.07546,1.07449,1.07455,1577
2020-03-20 06:55:00,1.07455,1.07522,1.07422,1.07522,1507
2020-03-20 07:00:00,1.07519,1.07519,1.07408,1.07467,1764
2020-03-20 07:05:00,1.07465,1.07491,1.07422,1.07436,1561
2020-03-20 07:10:00,1.07436,1.07488,1.07415,1.07487,2078
2020-03-20 07:15:00,1.07486,1.07551,1.07485,1.0752,1792
2020-03-20 07:20:00,1.07521,1.07563,1.07495,1.07525,2298
2020-03-20 07:25:00,1.07525,1.07676,1.07523,1.07655,1649
2020-03-20 07:30:00,1.07655,1.07659,1.07568,1.07638,1612
2020-03-20 07:35:00,1.07637,1.07655,1.07574,1.07653,1207
2020-03-20 07:40:00,1.07654,1.07794,1.07649,1.07738,1705
2020-03-20 07:45:00,1.07737,1.07782,1.0767,1.07781,2144
2020-03-20 07:50:00,1.07781,1.07787,1.07683,1.07685,1951
2020-03-20 07:55:00,1.07685,1.07691,1.07555,1.07585,2158
2020-03-20 08:00:00,1.07589,1.07612,1.07423,1.075,3321
2020-03-20 08:05:00,1.075,1.07564,1.07472,1.0751,2490
2020-03-20 08:10:00,1.07511,1.07587,1.07448,1.07504,2267
2020-03-20 08:15:00,1.07509,1.07589,1.0748,1.07542,2549
2020-03-20 08:20:00,1.07542,1.07599,1.0751,1.07588,2868
2020-03-20 08:25:00,1.07589,1.07853,1.07586,1.07817,2463
2020-03-20 08:30:00,1.07814,1.07914,1.0778,1.0788,1995
2020-03-20 08:35:00,1.07881,1.07933,1.07809,1.07931,2180
2020-03-20 08:40:00,1.07932,1.08058,1.07865,1.08044,2016
2020-03-20 08:45:00,1.08045,1.08203,1.07957,1.08146,3251
2020-03-20 08:50:00,1.08145,1.08192,1.08082,1.08172,2380
2020-03-20 08:55:00,1.08166,1.08302,1.08077,1.08132,2592
2020-03-20 09:00:00,1.08132,1.08135,1.07809,1.07845,3049
2020-03-20 09:05:00,1.07847,1.07979,1.07802,1.07839,2886
2020-03-20 09:10:00,1.07839,1.07839,1.07755,1.07762,1886
2020-03-20 09:15:00,1.07762,1.0791,1.07741,1.07889,2316
2020-03-20 09:20:00,1.07888,1.07911,1.07746,1.0787,2267
2020-03-20 09:25:00,1.0787,1.07886,1.07776,1.07776,2634
2020-03-20 09:30:00,1.07775,1.07878,1.07774,1.0784,2668
2020-03-20 09:35:00,1.07841,1.07987,1.07804,1.0792,2228
2020-03-20 09:40:00,1.0792,1.07964,1.07871,1.07888,1768
2020-03-20 09:45:00,1.07888,1.07927,1.07853,1.07899,1743
2020-03-20 09:50:00,1.07898,1.0795,1.07888,1.0794,1452
2020-03-20 09:55:00,1.0794,1.07943,1.07774,1.07866,2031
2020-03-20 10:00:00,1.07867,1.07882,1.07708,1.07815,1905
2020-03-20 10:05:00,1.07812,1.07849,1.07756,1.07819,2027
2020-03-20 10:10:00,1.07817,1.07901,1.07788,1.07815,1451
2020-03-20 10:15:00,1.07816,1.07818,1.07718,1.0773,1405
2020-03-20 10:20:00,1.07732,1.07746,1.07673,1.07708,1612
2020-03-20 10:25:00,1.07709,1.07714,1.07605,1.07612,1143
2020-03-20 10:30:00,1.07612,1.07679,1.07589,1.07627,1215
2020-03-20 10:35:00,1.07627,1.0764,1.07496,1.07555,1887
2020-03-20 10:40:00,1.07556,1.07569,1.07312,1.07312,2085
2020-03-20 10:45:00,1.07313,1.07375,1.07141,1.0718,2010
2020-03-20 10:50:00,1.0718,1.07349,1.0717,1.07339,1447
2020-03-20 10:55:00,1.0734,1.0734,1.07157,1.07203,1707
2020-03-20 11:00:00,1.07204,1.07212,1.07158,1.07162,1222
2020-03-20 11:05:00,1.07164,1.07224,1.07052,1.07209,1741
2020-03-20 11:10:00,1.07207,1.0729,1.07146,1.07273,2153
2020-03-20 11:15:00,1.07274,1.07317,1.0722,1.07242,2149
2020-03-20 11:20:00,1.0724,1.07438,1.07236,1.07432,2083
2020-03-20 11:25:00,1.07435,1.07573,1.07403,1.07534,1760
2020-03-20 11:30:00,1.07534,1.07561,1.07402,1.07473,1902
2020-03-20 11:35:00,1.07474,1.07572,1.07372,1.07449,1586
2020-03-20 11:40:00,1.0745,1.07463,1.07275,1.0728,1485
2020-03-20 11:45:00,1.07282,1.07375,1.07282,1.07333,959
2020-03-20 11:50:00,1.07335,1.07377,1.07267,1.07369,1285
2020-03-20 11:55:00,1.07369,1.07398,1.07255,1.07361,1332
2020-03-20 12:00:00,1.07361,1.07393,1.07269,1.07292,1348
2020-03-20 12:05:00,1.07293,1.07317,1.07235,1.07242,1514
2020-03-20 12:10:00,1.07241,1.07262,1.07161,1.07166,1206
2020-03-20 12:15:00,1.07166,1.07172,1.07062,1.07092,1712
2020-03-20 12:20:00,1.07092,1.07092,1.06993,1.06998,1431
2020-03-20 12:25:00,1.07001,1.07094,1.06958,1.07077,1590
2020-03-20 12:30:00,1.07079,1.07099,1.07043,1.07072,1344
2020-03-20 12:35:00,1.0707,1.07163,1.07069,1.07142,1679
2020-03-20 12:40:00,1.07142,1.07313,1.07123,1.07302,1406
2020-03-20 12:45:00,1.07301,1.07391,1.07226,1.0727,1409
2020-03-20 12:50:00,1.07266,1.07266,1.07088,1.07093,1447
2020-03-20 12:55:00,1.07093,1.07173,1.07077,1.071,1469
2020-03-20 13:00:00,1.07101,1.07195,1.07004,1.07192,2982
2020-03-20 13:05:00,1.07192,1.07373,1.07183,1.07356,2527
2020-03-20 13:10:00,1.07356,1.07359,1.07282,1.07331,1298
2020-03-20 13:15:00,1.0733,1.07362,1.0726,1.07265,1260
2020-03-20 13:20:00,1.07264,1.07316,1.07232,1.07255,1329
2020-03-20 13:25:00,1.07258,1.07332,1.0725,1.07252,860
2020-03-20 13:30:00,1.07252,1.07305,1.07225,1.07291,1236
2020-03-20 13:35:00,1.07293,1.07432,1.07266,1.07405,1668
2020-03-20 13:40:00,1.07403,1.07593,1.07399,1.07477,1974
2020-03-20 13:45:00,1.07475,1.07534,1.07414,1.07429,1377
2020-03-20 13:50:00,1.07428,1.07428,1.07253,1.07257,1333
2020-03-20 13:55:00,1.07256,1.07258,1.07047,1.07086,1856
2020-03-20 14:00:00,1.07086,1.07111,1.0704,1.07089,1672
2020-03-20 14:05:00,1.07088,1.07107,1.06992,1.07016,1433
2020-03-20 14:10:00,1.07015,1.07115,1.06986,1.07067,1401
2020-03-20 14:15:00,1.07065,1.07065,1.06894,1.06938,1705
2020-03-20 14:20:00,1.06936,1.06999,1.06892,1.06898,1237
2020-03-20 14:25:00,1.06897,1.0693,1.06768,1.06914,1837
2020-03-20 14:30:00,1.0691,1.07067,1.06903,1.06986,1832
2020-03-20 14:35:00,1.06985,1.07193,1.06974,1.07104,2105
2020-03-20 14:40:00,1.07105,1.07122,1.06952,1.06953,1501
2020-03-20 14:45:00,1.06949,1.07025,1.06869,1.06988,1465
2020-03-20 14:50:00,1.06988,1.0707,1.06919,1.07031,1572
2020-03-20 14:55:00,1.0703,1.0708,1.06859,1.06923,1568
2020-03-20 15:00:00,1.06923,1.073,1.06901,1.07163,2145
2020-03-20 15:05:00,1.0716,1.0726,1.07109,1.07242,2022
2020-03-20 15:10:00,1.07241,1.07299,1.07096,1.07139,1863
2020-03-20 15:15:00,1.0714,1.07494,1.07109,1.07426,2235
2020-03-20 15:20:00,1.07426,1.07426,1.07245,1.07315,2106
2020-03-20 15:25:00,1.07315,1.07331,1.07203,1.07276,1537
2020-03-20 15:30:00,1.07276,1.07404,1.07251,1.07367,1611
2020-03-20 15:35:00,1.07367,1.07388,1.07211,1.07221,1279
2020-03-20 15:40:00,1.07222,1.0727,1.07161,1.07204,966
2020-03-20 15:45:00,1.07204,1.07309,1.07182,1.07274,1208
2020-03-20 15:50:00,1.07274,1.07396,1.07274,1.07363,1162
2020-03-20 15:55:00,1.07364,1.07417,1.07171,1.07195,1420
2020-03-20 16:00:00,1.07195,1.07426,1.0719,1.07421,1644
2020-03-20 16:05:00,1.07423,1.07465,1.07325,1.07405,1134
2020-03-20 16:10:00,1.07406,1.07474,1.07318,1.07329,1208
2020-03-20 16:15:00,1.07329,1.07354,1.07295,1.07325,1081
2020-03-20 16:20:00,1.07326,1.07415,1.07222,1.07223,1425
2020-03-20 16:25:00,1.07223,1.07317,1.07161,1.07245,1510
2020-03-20 16:30:00,1.07244,1.07361,1.07197,1.07358,1561
2020-03-20 16:35:00,1.07359,1.07378,1.07252,1.07293,1711
2020-03-20 16:40:00,1.07293,1.0738,1.07287,1.07364,1202
